SIMPLE                                 ,                 CamilaS-coder,                       Glaubel,                     KauaDev20,                   Lazzure-ufc,                    Lucas-Olii,                   Luismbelo79,                      Luiszszz,              Matheus-Mendes72,                        Nayyra,                   Nycolas6002,            PedroHenriqueVidal,                    SuRaquel05,                VicenteSilva05,                ViniDuarte1111,                       ceci097,                   devjoaoluis,                 felipeufc2025,                  joseluis1100,                    pepe123uyt,                       ryanlbb,                ryanlbpimentel,                  spacercoding,                     tiago-ufc,                       v1n1-03,                    wenfurnas1,                       yuri865,                         zBcxz
+:2:patas                              ,100% 54how 207m 076/000ex 096%,                           ---,100% 65how 092m 029/013ex 100%,100% 65how 051m 008/004ex 100%,100% 24how 123m 088/035ex 082%,100% 33how 333m 100/050ex 045%,100% 65how 015m 025/012ex 100%,100% 55how 090m 076/029ex 096%,100% 24how 134m 040/020ex 082%,100% 65how 013m 012/006ex 100%,100% 65how 038m 008/004ex 100%,100% 45how 200m 068/034ex 082%,100% 54how 105m 016/008ex 096%,100% 45how 231m 267/119ex 082%,100% 54how 033m 018/009ex 096%,100% 65how 051m 014/007ex 100%,                           ---,100% 55how 034m 006/003ex 096%,100% 54how 028m 012/006ex 096%,100% 65how 084m 032/016ex 100%,100% 65how 043m 014/007ex 100%,100% 45how 098m 012/006ex 082%,100% 65how 035m 026/013ex 100%,100% 54how 042m 011/007ex 096%,100% 65how 035m 020/010ex 100%,100% 24how 181m 026/013ex 082%,100% 65how 169m 090/041ex 100%
*:2:dindin                             ,100% 54how 153m 043/021ex 096%,                           ---,100% 44how 068m 010/005ex 082%,100% 65how 038m 004/002ex 100%,100% 44how 042m 026/013ex 082%,100% 33how 711m 152/076ex 045%,100% 65how 037m 072/031ex 100%,100% 55how 088m 012/006ex 096%,100% 65how 085m 010/005ex 100%,100% 54how 034m 009/007ex 096%,100% 65how 033m 004/002ex 100%,100% 54how 088m 026/013ex 096%,100% 54how 099m 063/028ex 096%,100% 65how 289m 250/120ex 100%,100% 54how 068m 022/012ex 096%,100% 65how 050m 012/006ex 100%,                           ---,100% 55how 024m 010/005ex 096%,100% 54how 022m 008/004ex 096%,100% 65how 034m 024/012ex 100%,100% 65how 040m 008/004ex 100%,100% 65how 018m 012/006ex 100%,100% 65how 044m 018/009ex 100%,100% 54how 018m 013/007ex 096%,100% 65how 093m 028/014ex 100%,100% 44how 093m 010/005ex 082%,100% 65how 084m 012/006ex 100%
*:2:repetidos                          ,100% 54how 132m 098/047ex 096%,                           ---,100% 65how 010m 006/003ex 100%,100% 65how 063m 006/003ex 100%,100% 44how 034m 033/014ex 082%,100% 45how 205m 086/043ex 082%,100% 65how 003m 002/001ex 100%,100% 55how 130m 055/025ex 096%,100% 65how 027m 006/003ex 100%,100% 54how 013m 011/009ex 096%,100% 65how 040m 006/003ex 100%,100% 55how 043m 018/009ex 096%,100% 65how 034m 010/005ex 100%,100% 65how 042m 052/019ex 100%,000% 00how 058m 010/005ex 000%,100% 65how 031m 010/005ex 100%,                           ---,100% 55how 004m 002/001ex 096%,100% 65how 005m 002/001ex 100%,100% 65how 012m 008/004ex 100%,100% 65how 006m 012/006ex 100%,100% 65how 038m 016/008ex 100%,100% 65how 019m 004/002ex 100%,100% 65how 001m 002/001ex 100%,100% 65how 013m 008/004ex 100%,100% 25how 021m 002/001ex 082%,100% 65how 007m 002/001ex 100%
=:1:missão-vetores-ii==================,                           085,                           000,                           125,                           128,                           037,                           095,                           128,                           074,                           081,                           113,                           085,                           049,                           054,                           121,                           056,                           057,                           000,                           124,                           048,                           124,                           128,                           123,                           128,                           115,                           043,                           107,                           112
+:3:revolta                            ,100% 54how 133m 120/060ex 096%,                           ---,100% 55how 078m 034/017ex 096%,100% 65how 034m 006/003ex 100%,100% 55how 061m 105/052ex 096%,100% 34how 074m 018/009ex 082%,100% 65how 021m 024/012ex 100%,100% 65how 016m 004/002ex 100%,100% 65how 043m 010/005ex 100%,100% 65how 026m 016/008ex 100%,100% 65how 013m 004/002ex 100%,100% 55how 048m 008/004ex 096%,100% 65how 025m 014/007ex 100%,100% 65how 034m 018/009ex 100%,100% 55how 048m 010/005ex 096%,100% 65how 020m 008/004ex 100%,                           ---,100% 55how 013m 018/009ex 096%,100% 65how 007m 002/001ex 100%,100% 65how 045m 026/013ex 100%,100% 65how 006m 004/002ex 100%,100% 65how 022m 014/007ex 100%,100% 65how 023m 006/003ex 100%,100% 55how 007m 006/003ex 096%,100% 65how 061m 042/021ex 100%,100% 25how 076m 010/005ex 082%,100% 65how 013m 002/001ex 100%
+:3:cartas                             ,100% 54how 140m 142/071ex 096%,                           ---,100% 54how 123m 028/014ex 096%,100% 65how 056m 010/005ex 100%,100% 45how 043m 091/045ex 082%,100% 43how 134m 024/012ex 045%,100% 65how 082m 010/005ex 100%,100% 55how 157m 060/030ex 096%,100% 65how 031m 017/008ex 100%,100% 65how 046m 006/003ex 100%,100% 65how 022m 004/002ex 100%,100% 34how 077m 032/016ex 082%,100% 65how 166m 062/031ex 100%,100% 65how 114m 223/106ex 100%,100% 54how 053m 004/004ex 096%,100% 65how 048m 004/002ex 100%,                           ---,100% 55how 007m 002/001ex 096%,100% 65how 007m 002/001ex 100%,100% 65how 022m 012/006ex 100%,100% 65how 056m 030/015ex 100%,100% 65how 029m 050/022ex 100%,100% 65how 060m 032/016ex 100%,100% 55how 007m 002/001ex 096%,100% 65how 129m 036/018ex 100%,100% 54how 176m 026/013ex 096%,100% 65how 041m 090/043ex 100%
+:3:invertendo                         ,100% 53how 114m 096/048ex 075%,                           ---,100% 64how 243m 062/031ex 096%,100% 65how 030m 008/004ex 100%,100% 35how 035m 053/026ex 082%,100% 54how 029m 010/005ex 096%,100% 65how 031m 057/026ex 100%,100% 55how 068m 074/032ex 096%,100% 34how 034m 006/003ex 082%,100% 65how 010m 002/001ex 100%,100% 65how 017m 008/004ex 100%,100% 35how 093m 106/053ex 082%,100% 65how 128m 148/063ex 100%,100% 24how 067m 024/021ex 082%,100% 54how 067m 007/006ex 096%,100% 65how 019m 008/004ex 100%,                           ---,100% 55how 016m 014/007ex 096%,100% 54how 024m 030/015ex 096%,100% 65how 016m 030/015ex 100%,100% 65how 026m 020/010ex 100%,100% 65how 021m 022/011ex 100%,100% 65how 117m 038/019ex 100%,100% 55how 000m 002/001ex 096%,100% 65how 055m 046/023ex 100%,100% 24how 048m 034/017ex 082%,100% 65how 015m 062/024ex 100%
+:3:fila                               ,100% 54how 077m 077/037ex 096%,                           ---,100% 65how 054m 008/004ex 100%,100% 65how 018m 004/002ex 100%,100% 24how 082m 084/051ex 082%,100% 44how 392m 168/084ex 082%,100% 65how 034m 037/018ex 100%,100% 55how 161m 036/018ex 096%,100% 45how 076m 056/027ex 082%,100% 65how 015m 006/003ex 100%,100% 65how 012m 006/003ex 100%,100% 45how 157m 022/011ex 082%,100% 65how 042m 010/005ex 100%,100% 65how 014m 017/013ex 100%,100% 65how 132m 022/020ex 100%,100% 65how 040m 020/010ex 100%,                           ---,100% 55how 003m 004/002ex 096%,100% 54how 039m 016/012ex 096%,100% 65how 029m 032/016ex 100%,100% 65how 022m 030/015ex 100%,100% 65how 013m 006/003ex 100%,100% 65how 032m 008/004ex 100%,100% 55how 003m 004/002ex 096%,100% 65how 041m 010/005ex 100%,100% 34how 100m 042/021ex 082%,100% 65how 021m 014/007ex 100%
+:4:pedra                              ,                           ---,                           ---,100% 54how 144m 013/006ex 096%,100% 65how 339m 038/019ex 100%,000% 00how 016m 037/028ex 000%,100% 45how 092m 004/002ex 082%,100% 65how 097m 049/024ex 100%,100% 13how 295m 137/062ex 045%,100% 33how 144m 056/027ex 045%,100% 65how 018m 004/002ex 100%,100% 65how 013m 006/003ex 100%,000% 00how 370m 047/021ex 000%,100% 44how 170m 094/046ex 082%,100% 24how 135m 034/021ex 082%,100% 65how 092m 005/005ex 100%,100% 65how 025m 014/007ex 100%,                           ---,100% 55how 016m 010/005ex 096%,000% 00how 011m 002/002ex 000%,100% 54how 382m 332/118ex 096%,100% 65how 028m 018/009ex 100%,100% 65how 193m 147/080ex 100%,100% 65how 123m 016/008ex 100%,100% 45how 179m 032/016ex 082%,000% 00how 014m 006/003ex 000%,100% 34how 310m 062/031ex 082%,100% 65how 262m 193/092ex 100%
+:4:troco                              ,000% 00how 020m 002/000ex 000%,                           ---,100% 55how 334m 214/099ex 096%,100% 65how 117m 006/003ex 100%,                           ---,100% 33how 073m 028/014ex 045%,100% 65how 039m 034/017ex 100%,100% 24how 078m 014/007ex 082%,100% 34how 648m 491/231ex 082%,100% 65how 091m 019/009ex 100%,100% 65how 144m 081/008ex 100%,000% 00how 160m 014/007ex 000%,000% 00how 100m 030/015ex 000%,100% 44how 011m 002/002ex 082%,000% 00how 109m 001/001ex 000%,000% 00how 029m 002/001ex 000%,                           ---,100% 55how 091m 085/036ex 096%,000% 00how 003m 000/000ex 000%,100% 55how 025m 018/010ex 096%,100% 65how 051m 062/031ex 100%,100% 35how 146m 101/050ex 082%,100% 65how 043m 022/011ex 100%,100% 55how 004m 006/003ex 096%,000% 00how 000m 000/000ex 000%,100% 24how 162m 034/017ex 082%,100% 44how 167m 101/042ex 082%
+:4:casais                             ,100% 54how 192m 158/074ex 096%,                           ---,100% 55how 105m 034/017ex 096%,100% 65how 122m 020/010ex 100%,                           ---,100% 55how 039m 002/001ex 096%,100% 65how 095m 180/079ex 100%,100% 65how 062m 026/013ex 100%,100% 24how 278m 174/097ex 082%,100% 65how 018m 024/012ex 100%,100% 65how 087m 024/012ex 100%,100% 44how 045m 048/024ex 082%,000% 00how 019m 008/004ex 000%,100% 65how 011m 009/005ex 100%,000% 00how 061m 004/003ex 000%,                           ---,                           ---,100% 55how 121m 057/028ex 096%,                           ---,100% 45how 128m 092/046ex 082%,100% 65how 090m 020/010ex 100%,100% 65how 088m 083/040ex 100%,100% 65how 121m 024/012ex 100%,100% 55how 026m 008/004ex 096%,000% 00how 026m 022/011ex 000%,100% 24how 153m 012/006ex 082%,100% 65how 191m 010/005ex 100%
+:4:exemplares                         ,100% 33how 418m 213/079ex 045%,                           ---,100% 54how 273m 064/032ex 096%,100% 65how 058m 032/016ex 100%,                           ---,100% 43how 235m 082/041ex 045%,100% 65how 068m 114/053ex 100%,000% 00how 074m 036/018ex 000%,100% 44how 278m 180/100ex 082%,000% 65how 070m 025/023ex 000%,000% 00how 063m 004/002ex 000%,000% 00how 122m 004/002ex 000%,                           ---,100% 65how 025m 017/013ex 100%,000% 00how 010m 000/000ex 000%,                           ---,                           ---,100% 55how 029m 024/012ex 096%,100% 33how 028m 003/003ex 045%,100% 55how 061m 088/042ex 096%,100% 65how 045m 032/016ex 100%,100% 45how 200m 089/042ex 082%,100% 65how 210m 058/029ex 100%,100% 23how 098m 016/008ex 045%,000% 00how 001m 002/001ex 000%,100% 14how 233m 056/028ex 082%,100% 11how 082m 030/013ex 002%
*:4:parkour                            ,100% 54how 090m 029/028ex 096%,                           ---,100% 65how 125m 018/009ex 100%,100% 65how 048m 006/003ex 100%,000% 00how 000m 000/000ex 000%,100% 45how 125m 042/021ex 082%,100% 65how 011m 028/012ex 100%,000% 00how 158m 091/045ex 000%,                           ---,100% 54how 074m 056/028ex 096%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 007m 004/004ex 100%,                           ---,                           ---,                           ---,100% 55how 010m 006/003ex 096%,                           ---,100% 65how 054m 046/023ex 100%,100% 65how 044m 014/007ex 100%,100% 65how 009m 008/004ex 100%,100% 65how 042m 006/003ex 100%,100% 55how 000m 002/001ex 096%,000% 00how 000m 000/000ex 000%,100% 24how 048m 006/003ex 082%,100% 65how 014m 052/018ex 100%
*:4:medico                             ,100% 44how 050m 010/002ex 082%,                           ---,100% 55how 235m 056/028ex 096%,100% 65how 029m 006/003ex 100%,                           ---,100% 44how 024m 006/003ex 082%,100% 65how 043m 080/037ex 100%,000% 00how 000m 000/000ex 000%,                           ---,100% 55how 173m 060/030ex 096%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 016m 007/005ex 100%,                           ---,                           ---,                           ---,100% 55how 019m 020/010ex 096%,000% 00how 003m 002/001ex 000%,100% 65how 095m 115/057ex 100%,100% 65how 118m 056/028ex 100%,100% 55how 154m 234/110ex 096%,100% 65how 034m 018/009ex 100%,100% 55how 069m 050/025ex 096%,000% 00how 000m 000/000ex 000%,100% 34how 100m 012/006ex 082%,100% 65how 065m 213/080ex 100%
=:1:missão-vetores-iii=================,                           000,                           000,                           126,                           126,                           000,                           046,                           126,                           000,                           000,                           042,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           122,                           000,                           060,                           125,                           019,                           059,                           074,                           000,                           021,                           040
+:4:batraquios                         ,                           ---,                           ---,100% 54how 202m 131/064ex 096%,100% 65how 040m 010/005ex 100%,                           ---,100% 34how 137m 020/010ex 082%,100% 65how 003m 019/008ex 100%,000% 00how 054m 022/011ex 000%,000% 00how 117m 039/023ex 000%,100% 54how 092m 015/014ex 096%,000% 00how 000m 000/000ex 000%,                           ---,000% 00how 000m 000/000ex 000%,000% 00how 007m 000/000ex 000%,                           ---,                           ---,                           ---,100% 55how 023m 010/005ex 096%,                           ---,100% 65how 104m 076/038ex 100%,100% 65how 080m 074/037ex 100%,100% 34how 174m 299/142ex 082%,100% 65how 115m 032/016ex 100%,100% 35how 131m 042/021ex 082%,                           ---,100% 23how 088m 012/006ex 045%,100% 43how 224m 026/013ex 045%
+:6:baruel                             ,000% 00how 012m 006/003ex 000%,                           ---,100% 65how 265m 204/100ex 100%,100% 65how 018m 006/003ex 100%,000% 00how 015m 023/009ex 000%,100% 33how 316m 064/032ex 045%,100% 65how 451m 383/171ex 100%,000% 00how 000m 000/000ex 000%,                           ---,100% 24how 296m 087/066ex 082%,000% 00how 000m 000/000ex 000%,000% 00how 001m 000/000ex 000%,000% 00how 002m 000/000ex 000%,000% 00how 021m 004/002ex 000%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 55how 064m 060/030ex 096%,                           ---,100% 65how 526m 207/103ex 100%,100% 55how 184m 060/030ex 096%,100% 44how 146m 157/077ex 082%,100% 65how 141m 044/022ex 100%,100% 23how 079m 046/023ex 045%,                           ---,100% 14how 392m 056/028ex 082%,100% 43how 111m 050/027ex 045%
+:6:tazos                              ,000% 00how 001m 000/000ex 000%,                           ---,100% 55how 100m 018/009ex 096%,100% 65how 133m 014/007ex 100%,                           ---,100% 45how 213m 082/041ex 082%,100% 65how 194m 261/120ex 100%,                           ---,                           ---,100% 24how 079m 017/015ex 082%,000% 00how 007m 002/001ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 55how 066m 030/015ex 096%,                           ---,100% 54how 474m 170/084ex 096%,100% 55how 204m 022/011ex 096%,100% 33how 224m 311/140ex 045%,100% 65how 031m 006/003ex 100%,100% 23how 002m 010/005ex 045%,                           ---,100% 24how 141m 020/010ex 082%,000% 00how 004m 030/015ex 000%
+:10:josephus                          ,                           ---,                           ---,100% 65how 841m 308/152ex 100%,100% 65how 061m 018/009ex 100%,                           ---,100% 32how 427m 128/064ex 012%,100% 65how 177m 264/115ex 100%,                           ---,                           ---,100% 54how 092m 019/018ex 096%,000% 00how 000m 000/000ex 000%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,100% 55how 029m 028/014ex 096%,                           ---,000% 00how 315m 144/071ex 000%,100% 65how 111m 064/032ex 100%,                           ---,100% 54how 003m 004/002ex 096%,100% 32how 008m 008/004ex 012%,                           ---,000% 00how 000m 000/000ex 000%,000% 00how 027m 010/005ex 000%
+:8:busca                              ,                           ---,                           ---,100% 65how 182m 130/065ex 100%,100% 65how 105m 034/017ex 100%,                           ---,100% 43how 113m 006/003ex 045%,100% 65how 064m 117/058ex 100%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,100% 55how 112m 094/047ex 096%,                           ---,100% 65how 155m 194/097ex 100%,100% 65how 102m 022/011ex 100%,000% 00how 004m 000/000ex 000%,100% 54how 126m 020/018ex 096%,100% 45how 048m 029/013ex 082%,                           ---,000% 00how 000m 000/000ex 000%,100% 65how 166m 054/027ex 100%
+:10:contagem                          ,                           ---,                           ---,100% 65how 109m 044/022ex 100%,100% 65how 046m 018/009ex 100%,                           ---,000% 00how 066m 009/006ex 000%,100% 65how 043m 086/036ex 100%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,100% 55how 038m 020/010ex 096%,                           ---,100% 65how 075m 017/015ex 100%,100% 65how 079m 032/016ex 100%,                           ---,000% 00how 003m 001/001ex 000%,100% 45how 097m 030/015ex 082%,                           ---,                           ---,100% 65how 092m 026/013ex 100%
+:12:manipulacao                       ,                           ---,                           ---,100% 65how 175m 088/044ex 100%,100% 65how 462m 088/044ex 100%,                           ---,100% 44how 382m 027/020ex 082%,100% 65how 135m 140/068ex 100%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,100% 55how 093m 054/027ex 096%,                           ---,000% 00how 068m 015/011ex 000%,100% 55how 396m 098/049ex 096%,                           ---,000% 00how 000m 000/000ex 000%,100% 24how 412m 218/109ex 082%,                           ---,                           ---,000% 00how 269m 166/083ex 000%
*:15:especiais                         ,                           ---,                           ---,100% 65how 011m 003/001ex 100%,100% 65how 884m 218/109ex 100%,                           ---,                           ---,100% 65how 264m 243/117ex 100%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 55how 189m 098/049ex 096%,                           ---,000% 00how 001m 002/002ex 000%,100% 65how 599m 238/119ex 100%,                           ---,000% 00how 000m 000/000ex 000%,100% 23how 450m 123/088ex 045%,                           ---,                           ---,000% 00how 076m 040/021ex 000%
=:1:missão-strings=====================,                           064,                           000,                           033,                           129,                           000,                           020,                           037,                           042,                           082,                           060,                           000,                           006,                           000,                           109,                           000,                           000,                           000,                           125,                           009,                           070,                           129,                           083,                           000,                           000,                           000,                           082,                           000
+:2:xuxa                               ,100% 54how 115m 014/007ex 096%,                           ---,100% 65how 076m 025/018ex 100%,100% 65how 108m 036/018ex 100%,                           ---,100% 54how 040m 003/002ex 096%,100% 65how 009m 025/008ex 100%,100% 34how 340m 100/045ex 082%,100% 43how 122m 034/017ex 045%,100% 35how 114m 018/009ex 082%,000% 00how 000m 000/000ex 000%,100% 44how 164m 042/021ex 082%,                           ---,100% 65how 164m 063/033ex 100%,000% 00how 001m 000/000ex 000%,                           ---,                           ---,100% 55how 201m 074/037ex 096%,100% 43how 026m 004/002ex 045%,100% 65how 162m 079/038ex 100%,100% 65how 048m 054/027ex 100%,100% 65how 025m 010/005ex 100%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 24how 049m 018/009ex 082%,                           ---
+:2:inverte                            ,100% 54how 107m 022/011ex 096%,                           ---,100% 65how 067m 017/017ex 100%,100% 65how 134m 018/009ex 100%,                           ---,100% 54how 128m 025/022ex 096%,100% 65how 006m 004/002ex 100%,100% 65how 072m 039/021ex 100%,100% 44how 052m 037/018ex 082%,100% 25how 049m 021/009ex 082%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,                           ---,100% 65how 045m 052/034ex 100%,                           ---,                           ---,                           ---,100% 55how 043m 016/008ex 096%,100% 44how 067m 005/005ex 082%,100% 65how 031m 040/020ex 100%,100% 65how 029m 032/016ex 100%,100% 65how 052m 036/018ex 100%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 24how 026m 018/009ex 082%,                           ---
+:2:substring                          ,100% 33how 256m 104/052ex 045%,                           ---,100% 65how 194m 020/019ex 100%,100% 65how 042m 022/011ex 100%,                           ---,100% 44how 200m 035/022ex 082%,000% 00how 078m 166/062ex 000%,100% 54how 154m 090/041ex 096%,100% 35how 515m 605/289ex 082%,100% 45how 124m 090/044ex 082%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 24how 037m 004/004ex 082%,                           ---,                           ---,                           ---,100% 55how 038m 046/023ex 096%,000% 00how 013m 000/000ex 000%,100% 65how 106m 059/038ex 100%,100% 65how 166m 106/053ex 100%,100% 65how 138m 162/081ex 100%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 34how 108m 041/022ex 082%,                           ---
+:3:leds                               ,000% 00how 010m 000/000ex 000%,                           ---,100% 54how 081m 009/009ex 096%,100% 65how 042m 006/003ex 100%,                           ---,000% 00how 043m 003/002ex 000%,100% 65how 019m 010/008ex 100%,000% 00how 074m 021/016ex 000%,100% 34how 109m 120/059ex 082%,100% 24how 037m 010/009ex 082%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 018m 008/007ex 100%,                           ---,                           ---,                           ---,100% 55how 065m 014/007ex 096%,000% 00how 001m 000/000ex 000%,100% 65how 034m 022/011ex 100%,100% 65how 039m 036/015ex 100%,090% 55how 054m 038/019ex 092%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 24how 029m 004/002ex 082%,                           ---
+:3:ru                                 ,100% 54how 033m 012/006ex 096%,                           ---,000% 00how 000m 000/000ex 000%,100% 65how 013m 006/003ex 100%,                           ---,                           ---,100% 65how 020m 009/008ex 100%,100% 54how 003m 001/001ex 096%,100% 44how 010m 004/002ex 082%,100% 24how 043m 018/015ex 082%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 054m 029/020ex 100%,                           ---,                           ---,                           ---,100% 55how 024m 029/014ex 096%,                           ---,100% 65how 025m 018/009ex 100%,100% 65how 004m 006/003ex 100%,100% 65how 019m 012/006ex 100%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 24how 062m 028/014ex 082%,                           ---
+:3:gritando                           ,100% 54how 043m 026/013ex 096%,                           ---,                           ---,100% 65how 020m 006/003ex 100%,                           ---,                           ---,                           ---,100% 65how 031m 020/019ex 100%,100% 44how 019m 018/009ex 082%,100% 54how 033m 012/012ex 096%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 24how 069m 051/036ex 082%,                           ---,                           ---,                           ---,100% 55how 037m 020/010ex 096%,                           ---,100% 65how 002m 004/002ex 100%,100% 65how 012m 039/019ex 100%,100% 65how 007m 002/001ex 100%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 24how 022m 007/003ex 082%,                           ---
+:4:amora                              ,100% 33how 082m 042/036ex 045%,                           ---,                           ---,100% 65how 102m 014/007ex 100%,                           ---,                           ---,                           ---,000% 00how 019m 009/009ex 000%,100% 43how 165m 146/069ex 045%,100% 24how 016m 005/003ex 082%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 049m 021/015ex 100%,                           ---,                           ---,                           ---,100% 55how 101m 114/057ex 096%,                           ---,100% 65how 004m 004/003ex 100%,100% 65how 062m 022/011ex 100%,100% 65how 047m 012/006ex 100%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 24how 074m 021/013ex 082%,                           ---
+:4:traficantes                        ,100% 43how 096m 036/018ex 045%,                           ---,                           ---,100% 65how 202m 028/014ex 100%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,100% 23how 082m 184/080ex 045%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 093m 035/016ex 100%,                           ---,                           ---,                           ---,100% 55how 113m 090/045ex 096%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 65how 049m 026/013ex 100%,000% 00how 146m 141/058ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 079m 008/003ex 000%,                           ---
+:4:fresco                             ,000% 00how 141m 027/016ex 000%,                           ---,                           ---,100% 65how 128m 008/004ex 100%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,100% 23how 214m 121/059ex 045%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 24how 063m 022/018ex 082%,                           ---,                           ---,                           ---,100% 55how 020m 044/022ex 096%,                           ---,000% 00how 036m 036/018ex 000%,100% 65how 008m 014/007ex 100%,090% 55how 077m 076/038ex 092%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 14how 051m 015/014ex 082%,                           ---
*:4:gamados                            ,100% 44how 026m 005/005ex 082%,                           ---,                           ---,100% 65how 382m 082/041ex 100%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,100% 43how 181m 141/068ex 045%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 65how 025m 008/006ex 100%,                           ---,                           ---,                           ---,100% 55how 057m 024/012ex 096%,                           ---,000% 00how 000m 000/000ex 000%,100% 65how 099m 090/045ex 100%,000% 00how 012m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 24how 025m 005/005ex 082%,                           ---
*:4:mario                              ,                           ---,                           ---,000% 00how 000m 000/000ex 000%,100% 65how 118m 010/005ex 100%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,100% 24how 293m 291/151ex 082%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 55how 067m 008/004ex 096%,                           ---,000% 00how 010m 018/009ex 000%,100% 65how 014m 004/002ex 100%,000% 00how 010m 002/001ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 002m 000/000ex 000%,                           ---
=:1:missão-strings-ii==================,                           030,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           020,                           000,                           000,                           000,                           000,                           014,                           000,                           000,                           000,                           023,                           000,                           000,                           000,                           014,                           000,                           000,                           000,                           051,                           000
+:3:valentina                          ,100% 44how 258m 073/063ex 082%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 084m 014/010ex 082%,                           ---,                           ---,                           ---,                           ---,100% 65how 075m 013/009ex 100%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 55how 035m 046/023ex 096%,000% 00how 032m 000/000ex 000%,                           ---,                           ---,100% 65how 107m 062/050ex 100%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 14how 046m 010/010ex 082%,                           ---
+:3:vcvcvc                             ,100% 65how 024m 008/008ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 031m 018/013ex 082%,                           ---,                           ---,                           ---,                           ---,100% 65how 011m 003/003ex 100%,                           ---,                           ---,                           ---,100% 55how 020m 014/007ex 096%,                           ---,                           ---,                           ---,100% 65how 021m 006/005ex 100%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 24how 049m 005/003ex 082%,                           ---
