SIMPLE                                 ,CamilaS-coder,Glaubel,KauaDev20,Lazzure-ufc,Lucas-Olii,Luismbelo79,Luiszszz,Matheus-Mendes72,Nayyra,Nycolas6002,PedroHenriqueVidal,SuRaquel05,VicenteSilva05,ViniDuarte1111,ceci097,devjoaoluis,felipeufc2025,joseluis1100,pepe123uyt,ryanlbb,ryanlbpimentel,spacercoding,tiago-ufc,v1n1-03,wenfurnas1,yuri865,zBcxz
+:1:abs                                ,          096,    000,      096,        100,       070,        082,     000,             100,   082,        100,               100,       082,           096,           100,    096,        082,          000,         096,       096,    100,           100,         082,      100,    096,       100,    082,  100
+:1:max                                ,          096,    000,      100,        100,       082,        082,     100,             100,   100,        100,               100,       096,           100,           100,    096,        096,          002,         096,       100,    096,           100,         100,      100,    100,       100,    082,  100
+:1:ou                                 ,          096,    000,      100,        100,       096,        082,     100,             100,   100,        100,               100,       096,           100,           100,    096,        100,          002,         096,       096,    096,           100,         100,      100,    100,       100,    096,  100
+:1:positivo                           ,          100,    000,      100,        100,       100,        096,     100,             100,   100,        100,               100,       082,           100,           100,    100,        100,          002,         096,       100,    096,           100,         100,      100,    100,       100,    082,  100
+:1:multiplo                           ,          100,    000,      100,        100,       100,        082,     100,             096,   100,        100,               100,       096,           100,           096,    100,        100,          002,         096,       100,    100,           100,         100,      100,    100,       100,    096,  100
+:2:calc                               ,          096,    000,      100,        100,       096,        045,     100,             100,   100,        100,               100,       082,           096,           096,    045,        100,          000,         096,       096,    096,           100,         082,      100,    096,       100,    082,  100
+:2:guarda                             ,          096,    000,      100,        100,       082,        082,     100,             096,   082,        100,               100,       082,           100,           100,    096,        096,          000,         096,       096,    096,           100,         100,      100,    096,       100,    082,  100
+:2:quantos                            ,          100,    000,      100,        100,       096,        082,     100,             100,   100,        100,               100,       096,           100,           096,    096,        096,          002,         096,       096,    096,           100,         082,      100,    096,       100,    082,  100
+:3:impar                              ,          096,    000,      100,        100,       045,        045,     100,             100,   096,        096,               100,       082,           096,           082,    082,        100,          002,         096,       100,    096,           100,         100,      100,    096,       100,    082,  100
+:3:round                              ,          096,    000,      100,        100,       045,        082,     100,             100,   100,        100,               100,       082,           100,           045,    100,        100,          000,         096,       096,    096,           100,         100,      100,    096,       100,    082,  100
+:3:mumia                              ,          012,    000,      100,        100,       082,        082,     100,             100,   100,        096,               100,       082,           100,           100,    045,        100,          002,         096,       100,    100,           100,         100,      100,    100,       100,    082,  100
*:3:meio                               ,          100,    000,      100,        100,       000,        082,     100,             100,   100,        100,               100,       082,           100,           100,    096,        096,          000,         096,       096,    100,           100,         100,      100,    096,       100,    082,  100
*:3:jokenpo                            ,          096,    000,      100,        100,       096,        082,     100,             100,   082,        100,               100,       082,           100,           100,    096,        100,          012,         096,       096,    100,           100,         100,      100,    100,       100,    082,  100
=:1:missão-seleção-ii==================,          117,    000,      115,        120,       073,        094,     120,             118,   102,        117,               040,       080,           109,           117,    108,        089,          000,         116,       117,    098,           120,         116,      110,    117,       118,    103,  120
+:3:final                              ,          096,    000,      100,        100,       082,        096,     100,             096,   082,        100,               100,       082,           100,           096,    096,        100,          000,         096,       096,    082,           100,         100,      100,    096,       100,    082,  100
+:3:semana                             ,          096,    000,      100,        100,       082,        096,     100,             100,   082,        096,               100,       096,           100,           100,    096,        096,          000,         096,       100,    100,           100,         100,      100,    096,       100,    082,  100
+:3:varetas                            ,          096,    000,      100,        100,       096,        096,     100,             100,   100,        096,               000,       082,           100,           100,    100,        100,          000,         096,       096,    100,           100,         100,      100,    100,       100,    096,  100
+:3:bhaskara                           ,          096,    000,      100,        100,       082,        096,     100,             096,   082,        082,               000,       082,           100,           100,    096,        100,          ---,         096,       096,    100,           100,         100,      100,    096,       100,    082,  100
+:3:cortada                            ,          096,    000,      096,        100,       082,        096,     100,             100,   045,        100,               000,       082,           100,           100,    100,        100,          ---,         096,       096,    100,           100,         082,      100,    096,       100,    082,  100
+:3:monica                             ,          100,    000,      100,        100,       082,        096,     100,             100,   100,        100,               100,       096,           100,           100,    100,        100,          000,         096,       096,    100,           100,         100,      100,    096,       100,    096,  100
+:3:drone                              ,          096,    000,      082,        100,       000,        082,     100,             096,   100,        100,               000,       100,           100,           100,    100,        100,          ---,         096,       100,    100,           100,         100,      100,    096,       100,    096,  100
+:3:teleferico                         ,          096,    000,      096,        100,       045,        082,     100,             096,   082,        100,               000,       082,           096,           096,    096,        096,          ---,         096,       096,    096,           100,         100,      100,    096,       100,    082,  100
+:3:goiabas                            ,          100,    000,      100,        100,       082,        096,     100,             100,   082,        100,               000,       096,           100,           100,    096,        000,          ---,         096,       096,    100,           100,         100,      100,    100,       100,    082,  100
+:3:cobra                              ,          096,    000,      082,        100,       000,        012,     100,             096,   082,        096,               100,       000,           000,           082,    096,        000,          ---,         096,       096,    000,           100,         082,      100,    100,       082,    082,  100
*:3:game10                             ,          100,    000,      100,        100,       000,        045,     100,             100,   082,        100,               000,       000,           100,           100,    000,        000,          ---,         096,       096,    000,           100,         100,      000,    100,       100,    082,  100
*:3:salario                            ,          100,    000,      100,        100,       096,        045,     100,             100,   100,        096,               000,       000,           100,           100,    100,        100,          ---,         096,       100,    100,           100,         100,      100,    100,       100,    082,  100
=:1:missão-repetição-i=================,          129,    000,      129,        133,       111,        098,     133,             131,   115,        132,               133,       122,           131,           120,    106,        133,          000,         129,       129,    116,           133,         124,      116,    133,       133,    110,  133
+:1:loop_i                             ,          096,    000,      100,        100,       032,        082,     100,             100,   092,        100,               100,       082,           100,           082,    096,        100,          ---,         096,       100,    096,           100,         100,      100,    100,       100,    082,  100
+:1:loop_ii                            ,          096,    000,      100,        100,       082,        082,     100,             100,   082,        096,               100,       082,           100,           045,    096,        100,          ---,         096,       096,    096,           100,         100,      100,    100,       100,    082,  100
+:1:loop_iii                           ,          096,    000,      100,        100,       096,        082,     100,             100,   100,        100,               100,       100,           100,           100,    082,        100,          ---,         096,       096,    082,           100,         100,      100,    100,       100,    082,  100
+:1:loop_iv                            ,          096,    000,      100,        100,       045,        082,     100,             096,   096,        096,               100,       096,           100,           100,    082,        100,          ---,         096,       096,    100,           100,         100,      100,    100,       100,    082,  100
+:2:loop_v                             ,          096,    000,      100,        100,       096,        000,     100,             096,   045,        100,               100,       082,           100,           100,    082,        100,          ---,         096,       096,    100,           100,         100,      100,    100,       100,    082,  100
+:2:pares                              ,          096,    000,      100,        100,       082,        082,     100,             096,   082,        100,               100,       096,           096,           082,    045,        100,          ---,         096,       096,    045,           100,         082,      100,    100,       100,    082,  100
+:2:sapatos                            ,          096,    000,      100,        100,       096,        096,     100,             100,   096,        100,               100,       096,           100,           096,    082,        100,          ---,         096,       096,    082,           100,         100,      100,    100,       100,    082,  100
+:2:filhos                             ,          096,    000,      082,        100,       096,        082,     100,             100,   100,        100,               100,       100,           096,           100,    096,        100,          ---,         096,       096,    082,           100,         100,      100,    100,       100,    082,  100
*:2:ceu                                ,          096,    000,      096,        100,       082,        082,     100,             096,   100,        100,               100,       082,           096,           100,    053,        100,          ---,         096,       096,    100,           100,         082,      100,    100,       100,    082,  100
*:2:esconde                            ,          096,    000,      100,        100,       082,        082,     100,             100,   082,        100,               100,       096,           100,           082,    096,        100,          ---,         096,       100,    100,           100,         082,      000,    100,       100,    082,  100
=:1:missão-repetição-ii================,          132,    000,      113,        118,       012,        096,     118,             131,   093,        130,               019,       053,           118,           111,    067,        100,          000,         133,       115,    118,           118,         104,      134,    133,       116,    113,  118
+:2:zigzag                             ,          100,    000,      100,        100,       096,        082,     100,             100,   082,        096,               000,       082,           100,           100,    082,        100,          ---,         096,       096,    100,           100,         082,      100,    100,       100,    082,  100
+:2:colorido                           ,          096,    000,      100,        100,       000,        045,     100,             096,   082,        082,               000,       096,           100,           096,    096,        100,          ---,         096,       096,    096,           100,         082,      100,    096,       100,    082,  100
+:3:concentra                          ,          096,    000,      096,        100,       ---,        082,     100,             096,   082,        096,               000,       082,           100,           082,    096,        100,          ---,         096,       096,    100,           100,         100,      100,    096,       100,    082,  100
+:3:fuga                               ,          100,    000,      082,        100,       000,        082,     100,             096,   082,        096,               100,       000,           100,           096,    000,        100,          000,         096,       096,    100,           100,         082,      100,    096,       100,    082,  100
+:3:lotado                             ,          100,    000,      100,        100,       ---,        096,     100,             096,   082,        100,               000,       082,           100,           100,    096,        100,          ---,         096,       096,    100,           100,         082,      100,    096,       096,    082,  100
+:3:spok                               ,          082,    ---,      000,        ---,       ---,        ---,     ---,             082,   ---,        100,               ---,       ---,           ---,           ---,    000,        ---,          ---,         096,       ---,    ---,           000,         000,      082,    096,       000,    082,  ---
*:3:sapinho                            ,          096,    000,      096,        100,       ---,        082,     100,             096,   096,        100,               000,       000,           100,           100,    000,        100,          ---,         096,       096,    100,           100,         100,      100,    096,       096,    082,  100
*:3:fatores                            ,          096,    ---,      096,        100,       ---,        082,     100,             100,   045,        082,               000,       ---,           100,           082,    045,        000,          ---,         096,       096,    100,           100,         082,      100,    096,       096,    082,  100
=:1:missão-vetores-i===================,          145,    000,      141,        149,       109,        103,     149,             145,   131,        148,               149,       134,           144,           145,    112,        147,          000,         145,       146,    124,           149,         143,      149,    145,       149,    124,  149
+:1:vet_i                              ,          096,    ---,      100,        100,       045,        082,     100,             096,   045,        100,               100,       082,           096,           096,    096,        082,          ---,         096,       096,    096,           100,         082,      100,    096,       100,    082,  100
+:1:vet_ii                             ,          096,    ---,      100,        100,       045,        082,     100,             100,   096,        100,               100,       096,           100,           100,    082,        100,          ---,         096,       096,    096,           100,         096,      100,    096,       100,    082,  100
+:1:vet_iii                            ,          096,    ---,      082,        100,       045,        045,     100,             096,   096,        100,               100,       082,           100,           100,    082,        100,          ---,         096,       096,    100,           100,         100,      100,    096,       100,    082,  100
+:2:apertada                           ,          096,    ---,      100,        100,       082,        096,     100,             096,   082,        100,               100,       082,           096,           100,    082,        100,          ---,         096,       096,    000,           100,         100,      100,    096,       100,    082,  100
+:1:dieta                              ,          096,    ---,      082,        100,       082,        082,     100,             096,   082,        100,               100,       096,           082,           100,    082,        100,          ---,         096,       100,    100,           100,         100,      100,    096,       100,    082,  100
+:2:patas                              ,          096,    ---,      100,        100,       082,        045,     100,             096,   082,        100,               100,       082,           096,           082,    096,        100,          ---,         096,       096,    100,           100,         082,      100,    096,       100,    082,  100
*:2:dindin                             ,          096,    ---,      082,        100,       082,        045,     100,             096,   100,        096,               100,       096,           096,           100,    096,        100,          ---,         096,       096,    100,           100,         100,      100,    096,       100,    082,  100
*:2:repetidos                          ,          096,    ---,      100,        100,       082,        082,     100,             096,   100,        096,               100,       096,           100,           100,    000,        100,          ---,         096,       100,    100,           100,         100,      100,    100,       100,    082,  100
=:1:missão-vetores-ii==================,          085,    000,      125,        128,       037,        095,     128,             074,   081,        113,               085,       049,           054,           121,    056,        057,          000,         124,       048,    124,           128,         123,      128,    115,       043,    107,  112
+:3:revolta                            ,          096,    ---,      096,        100,       096,        082,     100,             100,   100,        100,               100,       096,           100,           100,    096,        100,          ---,         096,       100,    100,           100,         100,      100,    096,       100,    082,  100
+:3:cartas                             ,          096,    ---,      096,        100,       082,        045,     100,             096,   100,        100,               100,       082,           100,           100,    096,        100,          ---,         096,       100,    100,           100,         100,      100,    096,       100,    096,  100
+:3:invertendo                         ,          075,    ---,      096,        100,       082,        096,     100,             096,   082,        100,               100,       082,           100,           082,    096,        100,          ---,         096,       096,    100,           100,         100,      100,    096,       100,    082,  100
+:3:fila                               ,          096,    ---,      100,        100,       082,        082,     100,             096,   082,        100,               100,       082,           100,           100,    100,        100,          ---,         096,       096,    100,           100,         100,      100,    096,       100,    082,  100
+:4:pedra                              ,          ---,    ---,      096,        100,       000,        082,     100,             045,   045,        100,               100,       000,           082,           082,    100,        100,          ---,         096,       000,    096,           100,         100,      100,    082,       000,    082,  100
+:4:troco                              ,          000,    ---,      096,        100,       ---,        045,     100,             082,   082,        100,               100,       000,           000,           082,    000,        000,          ---,         096,       000,    096,           100,         082,      100,    096,       000,    082,  082
+:4:casais                             ,          096,    ---,      096,        100,       ---,        096,     100,             100,   082,        100,               100,       082,           000,           100,    000,        ---,          ---,         096,       ---,    082,           100,         100,      100,    096,       000,    082,  100
+:4:exemplares                         ,          045,    ---,      096,        100,       ---,        045,     100,             000,   082,        000,               000,       000,           ---,           100,    000,        ---,          ---,         096,       045,    096,           100,         082,      100,    045,       000,    082,  002
*:4:parkour                            ,          096,    ---,      100,        100,       000,        082,     100,             000,   ---,        096,               000,       ---,           ---,           100,    ---,        ---,          ---,         096,       ---,    100,           100,         100,      100,    096,       000,    082,  100
*:4:medico                             ,          082,    ---,      096,        100,       ---,        082,     100,             000,   ---,        096,               000,       ---,           ---,           100,    ---,        ---,          ---,         096,       000,    100,           100,         096,      100,    096,       000,    082,  100
=:1:missão-vetores-iii=================,          000,    000,      126,        126,       000,        046,     126,             000,   000,        042,               000,       000,           000,           000,    000,        000,          000,         122,       000,    060,           125,         019,      059,    074,       000,    021,  040
+:4:batraquios                         ,          ---,    ---,      096,        100,       ---,        082,     100,             000,   000,        096,               000,       ---,           000,           000,    ---,        ---,          ---,         096,       ---,    100,           100,         082,      100,    082,       ---,    045,  045
+:6:baruel                             ,          000,    ---,      100,        100,       000,        045,     100,             000,   ---,        082,               000,       000,           000,           000,    000,        ---,          ---,         096,       ---,    100,           096,         082,      100,    045,       ---,    082,  045
+:6:tazos                              ,          000,    ---,      096,        100,       ---,        082,     100,             ---,   ---,        082,               000,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    096,           096,         045,      100,    045,       ---,    082,  000
+:10:josephus                          ,          ---,    ---,      100,        100,       ---,        012,     100,             ---,   ---,        096,               000,       ---,           000,           ---,    ---,        ---,          ---,         096,       ---,    000,           100,         ---,      096,    012,       ---,    000,  000
+:8:busca                              ,          ---,    ---,      100,        100,       ---,        045,     100,             ---,   ---,        ---,               000,       ---,           ---,           000,    ---,        ---,          ---,         096,       ---,    100,           100,         000,      096,    082,       ---,    000,  100
+:10:contagem                          ,          ---,    ---,      100,        100,       ---,        000,     100,             ---,   ---,        ---,               000,       ---,           ---,           000,    ---,        ---,          ---,         096,       ---,    100,           100,         ---,      000,    082,       ---,    ---,  100
+:12:manipulacao                       ,          ---,    ---,      100,        100,       ---,        082,     100,             ---,   ---,        ---,               000,       ---,           ---,           000,    ---,        ---,          ---,         096,       ---,    000,           096,         ---,      000,    082,       ---,    ---,  000
*:15:especiais                         ,          ---,    ---,      100,        100,       ---,        ---,     100,             ---,   ---,        ---,               000,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    000,           100,         ---,      000,    045,       ---,    ---,  000
=:1:missão-strings=====================,          064,    000,      033,        129,       000,        020,     037,             042,   082,        060,               000,       006,           000,           109,    000,        000,          000,         125,       009,    070,           129,         083,      000,    000,       000,    082,  000
+:2:xuxa                               ,          096,    ---,      100,        100,       ---,        096,     100,             082,   045,        082,               000,       082,           ---,           100,    000,        ---,          ---,         096,       045,    100,           100,         100,      000,    000,       000,    082,  ---
+:2:inverte                            ,          096,    ---,      100,        100,       ---,        096,     100,             100,   082,        082,               000,       000,           ---,           100,    ---,        ---,          ---,         096,       082,    100,           100,         100,      000,    000,       000,    082,  ---
+:2:substring                          ,          045,    ---,      100,        100,       ---,        082,     000,             096,   082,        082,               000,       ---,           ---,           082,    ---,        ---,          ---,         096,       000,    100,           100,         100,      000,    000,       000,    082,  ---
+:3:leds                               ,          000,    ---,      096,        100,       ---,        000,     100,             000,   082,        082,               000,       ---,           ---,           100,    ---,        ---,          ---,         096,       000,    100,           100,         092,      000,    000,       000,    082,  ---
+:3:ru                                 ,          096,    ---,      000,        100,       ---,        ---,     100,             096,   082,        082,               000,       ---,           ---,           100,    ---,        ---,          ---,         096,       ---,    100,           100,         100,      000,    000,       000,    082,  ---
+:3:gritando                           ,          096,    ---,      ---,        100,       ---,        ---,     ---,             100,   082,        096,               000,       ---,           ---,           082,    ---,        ---,          ---,         096,       ---,    100,           100,         100,      000,    000,       000,    082,  ---
+:4:amora                              ,          045,    ---,      ---,        100,       ---,        ---,     ---,             000,   045,        082,               000,       ---,           ---,           100,    ---,        ---,          ---,         096,       ---,    100,           100,         100,      000,    000,       000,    082,  ---
+:4:traficantes                        ,          045,    ---,      ---,        100,       ---,        ---,     ---,             000,   045,        000,               000,       ---,           ---,           100,    ---,        ---,          ---,         096,       000,    000,           100,         000,      000,    000,       000,    000,  ---
+:4:fresco                             ,          000,    ---,      ---,        100,       ---,        ---,     ---,             000,   045,        ---,               000,       ---,           ---,           082,    ---,        ---,          ---,         096,       ---,    000,           100,         092,      000,    000,       000,    082,  ---
*:4:gamados                            ,          082,    ---,      ---,        100,       ---,        ---,     ---,             000,   045,        ---,               000,       ---,           ---,           100,    ---,        ---,          ---,         096,       ---,    000,           100,         000,      000,    000,       000,    082,  ---
*:4:mario                              ,          ---,    ---,      000,        100,       ---,        ---,     ---,             000,   082,        ---,               000,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    000,           100,         000,      000,    000,       000,    000,  ---
=:1:missão-strings-ii==================,          030,    000,      000,        000,       000,        000,     000,             000,   020,        000,               000,       000,           000,           014,    000,        000,          000,         023,       000,    000,           000,         014,      000,    000,       000,    051,  000
+:3:valentina                          ,          082,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   082,        ---,               ---,       ---,           ---,           100,    000,        ---,          ---,         096,       000,    ---,           ---,         100,      ---,    000,       ---,    082,  ---
+:3:vcvcvc                             ,          100,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   082,        ---,               ---,       ---,           ---,           100,    ---,        ---,          ---,         096,       ---,    ---,           ---,         100,      ---,    000,       ---,    082,  ---
+:4:eribelton                          ,          000,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   000,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    000,  ---
+:4:disfarce                           ,          082,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   082,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       ---,    ---,           ---,         000,      ---,    000,       ---,    082,  ---
+:4:chefe                              ,          012,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   000,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    082,  ---
+:4:identificando                      ,          082,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    082,  ---
+:4:calipso                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    082,  ---
+:4:krueguer                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    082,  ---
+:4:antimateria                        ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    ---,  ---
+:4:word                               ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    ---,  ---
+:4:espacos                            ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   000,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    ---,  ---
*:4:datilografar                       ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    ---,  ---
*:4:bubula                             ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        000,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    ---,           ---,         000,      ---,    000,       ---,    ---,  ---
=:1:missão-structs=====================,          003,    000,      000,        000,       000,        000,     000,             000,   079,        000,               000,       000,           000,           000,    000,        000,          000,         021,       027,    021,           000,         068,      000,    000,       000,    018,  000
*:3:fatores_type                       ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   082,        000,               ---,       ---,           ---,           000,    ---,        ---,          ---,         ---,       ---,    000,           ---,         000,      ---,    ---,       ---,    ---,  ---
+:4:pedra_type                         ,          ---,    ---,      000,        ---,       ---,        ---,     ---,             ---,   082,        000,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    000,           ---,         100,      ---,    ---,       ---,    ---,  ---
+:3:pizza                              ,          012,    ---,      ---,        ---,       ---,        ---,     000,             ---,   082,        000,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         096,       082,    096,           000,         100,      ---,    000,       ---,    082,  ---
+:3:gomos                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   096,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       045,    000,           ---,         085,      ---,    000,       ---,    000,  ---
+:4:estudante                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   000,        ---,               ---,       ---,           ---,           000,    ---,        ---,          ---,         000,       ---,    000,           ---,         000,      ---,    000,       ---,    ---,  ---
*:4:idosa                              ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         000,       ---,    000,           ---,         000,      ---,    000,       ---,    ---,  ---
=:1:missão-dicionários-================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        043,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:6:tazos_dict                         ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           000,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:casais_dict                        ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        096,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:exemplares_dict                    ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        096,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:sopa_dict                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
*:3:fatores_dict                       ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    ---,           ---,         ---,      ---,    ---,       ---,    ---,  ---
=:1:missão-recursão-===================,          000,    000,      000,        000,       000,        000,     000,             000,   000,        000,               000,       000,           000,           000,    000,        000,          000,         000,       000,    000,           000,         000,      000,    000,       000,    000,  000
+:3:primo_rec                          ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    000,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:4:sopa_rec                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    000,           ---,         ---,      ---,    ---,       ---,    ---,  ---
+:3:spok_rec                           ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           000,    ---,        ---,          ---,         ---,       ---,    000,           ---,         ---,      ---,    ---,       ---,    ---,  ---
*:1:fatores_rec                        ,          ---,    ---,      ---,        ---,       ---,        ---,     ---,             ---,   ---,        ---,               ---,       ---,           ---,           ---,    ---,        ---,          ---,         ---,       ---,    000,           ---,         ---,      ---,    ---,       ---,    ---,  ---
=:1:problemas-operações================,          094,    000,      000,        129,       000,        000,     129,             070,   000,        000,               000,       000,           000,           100,    000,        000,          001,         125,       127,    000,           129,         129,      129,    000,       129,    000,  000
+:2:quebrada                           ,          082,    ---,      000,        100,       ---,        ---,     100,             100,   000,        ---,               ---,       ---,           000,           100,    ---,        ---,          000,         096,       100,    ---,           100,         100,      100,    ---,       100,    ---,  000
+:2:operacoes                          ,          096,    ---,      ---,        100,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          000,         096,       100,    ---,           100,         100,      100,    ---,       100,    ---,  ---
+:3:data                               ,          096,    ---,      ---,        100,       ---,        ---,     100,             000,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          000,         096,       096,    ---,           100,         100,      100,    ---,       100,    ---,  ---
+:3:opala                              ,          096,    ---,      ---,        100,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          000,         096,       096,    ---,           100,         096,      100,    ---,       100,    ---,  ---
*:3:tv                                 ,          000,    ---,      ---,        100,       ---,        ---,     100,             000,   ---,        ---,               ---,       ---,           ---,           000,    ---,        ---,          000,         096,       096,    ---,           100,         100,      100,    ---,       100,    ---,  ---
=:1:problemas-seleção==================,          027,    000,      000,        005,       001,        000,     110,             087,   000,        000,               000,       000,           000,           038,    000,        000,          000,         114,       059,    000,           117,         102,      000,    000,       110,    000,  000
+:2:impedido                           ,          096,    ---,      ---,        100,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          000,         096,       100,    ---,           100,         100,      000,    ---,       100,    ---,  ---
+:1:maximo                             ,          100,    ---,      ---,        100,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          000,         096,       100,    ---,           100,         100,      000,    ---,       100,    ---,  000
+:2:chaves                             ,          100,    ---,      ---,        ---,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          002,         096,       100,    ---,           100,         100,      000,    ---,       100,    ---,  ---
+:3:chute                              ,          096,    ---,      ---,        ---,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          000,         096,       096,    ---,           100,         100,      000,    ---,       100,    ---,  ---
+:3:maior                              ,          000,    ---,      ---,        ---,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           000,    ---,        ---,          000,         096,       096,    ---,           100,         100,      000,    ---,       100,    ---,  ---
+:2:morangos                           ,          096,    ---,      ---,        ---,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          ---,         096,       100,    ---,           100,         100,      000,    ---,       100,    ---,  ---
+:2:taxi                               ,          096,    ---,      ---,        ---,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          ---,         096,       000,    ---,           100,         100,      000,    ---,       100,    ---,  ---
+:3:zerinho                            ,          ---,    ---,      ---,        ---,       ---,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          ---,         096,       100,    ---,           100,         100,      000,    ---,       100,    ---,  ---
+:1:par                                ,          100,    ---,      ---,        ---,       082,        ---,     100,             100,   ---,        ---,               ---,       ---,           ---,           100,    ---,        ---,          ---,         096,       100,    ---,           100,         100,      000,    ---,       100,    ---,  ---
