SIMPLE                           ,                     3301naoki,                     Aaron-GMM,                     Arthur32p,                 Blackberry216,                      Brieloki,                Daniel-jacodev,                   DevJLucasTM,               DevJulioEmanuel,                 EstherAzevedo,                GerasDeveloper,                    Henriwi-MS,                   JessLim2003,                     KauaLemos,                    KpSantiago,                     Luishma34,                   Pri-Holanda,               RafaelSantosS12,                   Ricardolg11,           SabrinaDamascenoDev,                        Sinh-0,               Temporary95Name,                Vitoria-Rabelo,                Wallisonnobrex,                        alvwsk,                  atilacalisto,                      caduteix,                ceciliaabintes,                     eduspicod,                       evyhdev,                  gabreidiasvl,             jardesonmagalhaes,                     joAo-dav1,                     mateus124,               narciso-roberto,                     rgcastrof,                    ruan-raujo,                      vistomia
+:1:mdc                          ,100% 55how 003m 004/002ex 096%,100% 65how 005m 006/003ex 100%,100% 44how 006m 014/007ex 082%,000% 00how 000m 000/000ex 000%,100% 65how 007m 005/002ex 100%,100% 65how 028m 012/006ex 100%,                           ---,100% 55how 015m 006/003ex 096%,100% 45how 000m 002/001ex 082%,100% 65how 002m 004/002ex 100%,100% 65how 038m 002/001ex 100%,100% 65how 029m 002/001ex 100%,                           ---,100% 55how 008m 008/007ex 096%,100% 65how 009m 003/001ex 100%,100% 65how 075m 008/004ex 100%,100% 55how 012m 002/001ex 096%,100% 45how 011m 008/004ex 082%,100% 55how 022m 016/008ex 096%,100% 65how 002m 002/001ex 100%,                           ---,100% 65how 030m 009/004ex 100%,                           ---,100% 65how 002m 004/002ex 100%,100% 65how 002m 002/001ex 100%,100% 65how 002m 004/002ex 100%,080% 21how 002m 004/002ex 002%,100% 44how 040m 021/010ex 082%,100% 55how 022m 006/003ex 096%,                           ---,100% 45how 000m 003/001ex 082%,100% 55how 003m 004/002ex 096%,100% 65how 010m 004/002ex 100%,100% 55how 052m 012/005ex 096%,100% 65how 007m 005/002ex 100%,100% 55how 003m 002/001ex 096%,100% 65how 014m 008/004ex 100%
+:2:eh_primo                     ,100% 55how 031m 034/017ex 096%,100% 65how 008m 004/002ex 100%,100% 55how 087m 070/035ex 096%,100% 65how 052m 026/013ex 100%,                           ---,100% 45how 025m 018/009ex 082%,100% 65how 018m 006/003ex 100%,                           ---,100% 55how 012m 004/002ex 096%,100% 65how 004m 002/001ex 100%,000% 00how 000m 000/000ex 000%,100% 65how 021m 010/005ex 100%,                           ---,100% 55how 119m 045/024ex 096%,100% 65how 014m 005/002ex 100%,100% 65how 022m 007/007ex 100%,100% 45how 048m 010/005ex 082%,100% 44how 006m 006/003ex 082%,100% 65how 011m 008/004ex 100%,100% 34how 079m 028/014ex 082%,                           ---,100% 55how 007m 013/006ex 096%,                           ---,100% 65how 004m 008/004ex 100%,                           ---,100% 65how 010m 004/002ex 100%,                           ---,100% 45how 090m 020/010ex 082%,100% 45how 025m 012/006ex 082%,                           ---,100% 55how 034m 025/012ex 096%,100% 55how 003m 002/001ex 096%,                           ---,100% 55how 017m 008/004ex 096%,100% 23how 074m 017/008ex 045%,                           ---,100% 65how 015m 010/005ex 100%
+:2:enesimo                      ,100% 55how 008m 004/002ex 096%,100% 65how 017m 018/009ex 100%,100% 55how 030m 018/009ex 096%,100% 65how 091m 026/013ex 100%,                           ---,100% 45how 044m 006/003ex 082%,100% 65how 011m 008/004ex 100%,                           ---,100% 55how 031m 008/004ex 096%,100% 55how 000m 002/001ex 096%,000% 00how 000m 000/000ex 000%,100% 65how 019m 010/005ex 100%,                           ---,                           ---,100% 65how 010m 009/004ex 100%,100% 65how 049m 003/003ex 100%,100% 23how 053m 012/006ex 045%,100% 44how 023m 006/003ex 082%,100% 55how 143m 033/016ex 096%,100% 65how 013m 011/005ex 100%,                           ---,100% 55how 070m 015/007ex 096%,                           ---,100% 55how 003m 002/001ex 096%,                           ---,100% 54how 014m 006/003ex 096%,                           ---,100% 44how 070m 025/012ex 082%,100% 45how 063m 004/002ex 082%,                           ---,100% 45how 031m 044/020ex 082%,100% 55how 005m 002/001ex 096%,                           ---,100% 55how 047m 070/035ex 096%,100% 23how 221m 035/017ex 045%,                           ---,100% 65how 125m 050/025ex 100%
+:10:fractais                    ,000% 00how 001m 000/000ex 000%,020% 32how 057m 000/000ex 001%,100% 54how 054m 001/001ex 096%,000% 00how 000m 000/000ex 000%,070% 34how 051m 013/006ex 036%,070% 44how 049m 000/000ex 036%,                           ---,000% 00how 065m 002/001ex 000%,060% 31how 053m 004/002ex 001%,000% 00how 006m 000/000ex 000%,020% 05how 093m 002/001ex 000%,000% 00how 041m 000/000ex 000%,                           ---,000% 00how 002m 000/000ex 000%,040% 00how 058m 000/000ex 000%,040% 31how 084m 000/000ex 001%,000% 00how 052m 002/001ex 000%,050% 32how 125m 008/004ex 002%,080% 54how 064m 002/001ex 082%,000% 00how 029m 000/000ex 000%,                           ---,070% 35how 068m 000/000ex 036%,                           ---,000% 00how 049m 000/000ex 000%,100% 43how 029m 000/000ex 045%,000% 00how 100m 016/008ex 000%,000% 00how 003m 000/000ex 000%,100% 44how 065m 000/000ex 082%,000% 00how 050m 000/000ex 000%,000% 00how 087m 000/000ex 000%,000% 00how 000m 000/000ex 000%,000% 00how 061m 000/000ex 000%,100% 44how 055m 000/000ex 082%,080% 03how 207m 000/000ex 000%,000% 00how 053m 000/000ex 000%,000% 00how 001m 000/000ex 000%,000% 00how 053m 000/000ex 000%
+:0:fractais_png                 ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,040% 22how 029m 000/000ex 002%,                           ---,                           ---,                           ---,000% 00how 011m 001/001ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---
+:1:vetequals                    ,100% 65how 020m 016/008ex 100%,100% 65how 042m 030/015ex 100%,100% 55how 064m 035/017ex 096%,100% 65how 026m 014/007ex 100%,100% 65how 010m 002/001ex 100%,100% 55how 015m 004/002ex 096%,100% 65how 004m 004/002ex 100%,100% 55how 044m 060/030ex 096%,100% 45how 032m 006/003ex 082%,000% 00how 036m 006/003ex 000%,000% 00how 052m 032/016ex 000%,100% 65how 039m 008/004ex 100%,100% 64how 047m 004/002ex 096%,100% 65how 054m 006/003ex 100%,100% 65how 009m 007/003ex 100%,100% 65how 017m 018/009ex 100%,000% 00how 028m 008/004ex 000%,                           ---,100% 65how 055m 055/027ex 100%,100% 45how 025m 021/010ex 082%,                           ---,000% 00how 018m 013/007ex 000%,                           ---,100% 65how 038m 016/008ex 100%,                           ---,100% 65how 020m 006/003ex 100%,100% 54how 017m 008/004ex 096%,100% 55how 049m 034/017ex 096%,100% 43how 094m 010/005ex 045%,                           ---,100% 54how 141m 067/028ex 096%,100% 55how 009m 004/002ex 096%,100% 55how 040m 024/012ex 096%,100% 65how 032m 014/007ex 100%,100% 45how 200m 102/049ex 082%,100% 55how 017m 006/003ex 096%,100% 65how 023m 018/009ex 100%
*:3:priminhos                    ,100% 55how 016m 004/002ex 096%,100% 65how 022m 018/009ex 100%,100% 55how 011m 019/009ex 096%,100% 65how 044m 046/023ex 100%,                           ---,100% 45how 016m 016/008ex 082%,100% 65how 042m 039/019ex 100%,                           ---,100% 45how 051m 022/011ex 082%,100% 45how 010m 004/002ex 082%,000% 00how 000m 000/000ex 000%,100% 55how 051m 008/004ex 096%,                           ---,                           ---,100% 65how 009m 004/002ex 100%,100% 65how 033m 012/012ex 100%,100% 43how 044m 010/005ex 045%,100% 44how 038m 014/007ex 082%,                           ---,100% 54how 014m 007/003ex 096%,                           ---,100% 65how 035m 024/012ex 100%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 55how 017m 014/007ex 096%,                           ---,100% 44how 057m 019/009ex 082%,100% 44how 050m 024/012ex 082%,                           ---,100% 45how 015m 044/018ex 082%,100% 45how 012m 014/007ex 082%,                           ---,000% 00how 000m 002/001ex 000%,                           ---,                           ---,100% 65how 047m 042/018ex 100%
=:1:busca-em-profundidade========,                           051,                           127,                           124,                           024,                           081,                           055,                           015,                           052,                           098,                           063,                           057,                           121,                           028,                           051,                           127,                           128,                           014,                           035,                           108,                           028,                           000,                           090,                           000,                           028,                           069,                           061,                           007,                           048,                           051,                           025,                           096,                           103,                           127,                           110,                           040,                           051,                           028
+:0:dfs_bfs_bak                  ,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,000% 04how 000m 000/000ex 000%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,100% 65how 002m 000/000ex 100%,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 00how 000m 000/000ex 000%,                           ---,                           ---
+:2:queimada                     ,100% 55how 033m 004/002ex 096%,100% 65how 043m 016/008ex 100%,100% 55how 190m 129/043ex 096%,100% 35how 031m 010/004ex 082%,100% 54how 025m 025/011ex 096%,100% 55how 039m 026/013ex 096%,                           ---,100% 55how 135m 018/009ex 096%,100% 54how 066m 027/017ex 096%,100% 55how 011m 007/003ex 096%,100% 65how 008m 004/002ex 100%,100% 65how 016m 006/003ex 100%,100% 55how 011m 012/006ex 096%,100% 45how 010m 011/010ex 082%,100% 55how 026m 034/015ex 096%,100% 65how 015m 030/015ex 100%,100% 43how 039m 027/012ex 045%,100% 65how 004m 002/001ex 100%,100% 65how 126m 038/026ex 100%,100% 54how 115m 038/018ex 096%,                           ---,000% 65how 049m 019/010ex 000%,                           ---,100% 55how 011m 014/007ex 096%,100% 54how 004m 002/001ex 096%,100% 34how 047m 006/003ex 082%,100% 32how 002m 002/001ex 012%,100% 44how 154m 022/011ex 082%,100% 55how 026m 008/004ex 096%,100% 21how 029m 014/006ex 002%,100% 45how 009m 019/009ex 082%,100% 55how 015m 008/004ex 096%,100% 65how 059m 018/009ex 100%,100% 65how 050m 117/050ex 100%,000% 34how 068m 026/013ex 000%,100% 55how 007m 006/003ex 096%,100% 55how 016m 024/012ex 096%
+:1:ilhas                        ,                           ---,100% 65how 070m 031/015ex 100%,100% 55how 069m 067/033ex 096%,                           ---,100% 44how 011m 002/002ex 082%,                           ---,                           ---,100% 44how 051m 004/002ex 082%,100% 35how 010m 004/002ex 082%,100% 44how 012m 004/002ex 082%,                           ---,100% 44how 016m 008/001ex 082%,                           ---,                           ---,100% 65how 025m 002/001ex 100%,100% 65how 137m 040/020ex 100%,100% 22how 004m 002/001ex 012%,                           ---,100% 54how 124m 017/010ex 096%,                           ---,                           ---,100% 55how 164m 042/021ex 096%,                           ---,                           ---,100% 54how 012m 001/001ex 096%,100% 54how 010m 003/002ex 096%,                           ---,100% 44how 106m 031/015ex 082%,                           ---,100% 24how 097m 005/002ex 082%,100% 54how 005m 013/003ex 096%,                           ---,100% 65how 052m 012/006ex 100%,100% 65how 032m 032/016ex 100%,100% 33how 096m 053/026ex 045%,                           ---,                           ---
+:1:cercado                      ,                           ---,100% 65how 000m 000/000ex 100%,100% 55how 001m 000/000ex 096%,                           ---,100% 54how 000m 000/000ex 096%,                           ---,                           ---,                           ---,100% 24how 000m 000/000ex 082%,                           ---,                           ---,100% 54how 000m 000/000ex 096%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,100% 43how 001m 000/000ex 045%,100% 54how 024m 000/000ex 096%,                           ---,                           ---,100% 55how 001m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 002m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 33how 001m 000/000ex 045%,                           ---,                           ---
+:2:labirinto                    ,100% 44how 059m 016/008ex 082%,100% 54how 025m 028/014ex 096%,100% 55how 330m 236/118ex 096%,000% 00how 004m 006/003ex 000%,100% 54how 012m 001/001ex 096%,100% 55how 014m 020/010ex 096%,080% 44how 064m 020/010ex 053%,100% 33how 037m 016/008ex 045%,100% 45how 007m 006/003ex 082%,100% 44how 010m 006/003ex 082%,100% 65how 031m 004/002ex 100%,100% 54how 017m 006/003ex 096%,                           ---,100% 55how 270m 199/198ex 096%,100% 65how 086m 030/014ex 100%,100% 65how 099m 063/040ex 100%,000% 00how 000m 000/000ex 000%,                           ---,100% 54how 197m 080/039ex 096%,000% 00how 153m 042/021ex 000%,                           ---,100% 55how 057m 035/017ex 096%,                           ---,                           ---,100% 54how 011m 006/003ex 096%,100% 24how 015m 008/004ex 082%,100% 32how 005m 004/002ex 012%,100% 23how 208m 068/033ex 045%,100% 45how 096m 040/020ex 082%,100% 23how 183m 093/046ex 045%,100% 34how 032m 053/019ex 082%,100% 35how 012m 006/003ex 082%,100% 55how 063m 032/016ex 096%,100% 55how 104m 067/033ex 096%,100% 32how 040m 023/011ex 012%,100% 45how 017m 010/005ex 082%,                           ---
+:1:pintura                      ,                           ---,100% 65how 035m 000/000ex 100%,100% 55how 002m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 34how 000m 000/000ex 082%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,                           ---,100% 55how 004m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 34how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,100% 65how 009m 000/000ex 100%,100% 34how 000m 000/000ex 082%,                           ---,                           ---
*:1:longest                      ,                           ---,100% 65how 000m 000/000ex 100%,100% 54how 000m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,000% 04how 000m 000/000ex 000%,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 001m 000/000ex 100%,                           ---,                           ---,090% 54how 000m 000/000ex 092%,                           ---,                           ---,100% 43how 000m 000/000ex 045%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 34how 000m 000/000ex 082%,100% 45how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%,100% 44how 019m 000/000ex 082%,000% 33how 000m 000/000ex 000%,                           ---,                           ---
*:1:battleship                   ,                           ---,100% 65how 000m 000/000ex 100%,100% 55how 000m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,                           ---,100% 54how 000m 000/000ex 096%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 000m 000/000ex 082%,100% 45how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%,                           ---,100% 34how 000m 000/000ex 082%,                           ---,                           ---
=:1:busca-em-largura---bfs=======,                           000,                           040,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           039,                           000,                           096,                           000,                           000,                           120,                           000,                           000,                           000,                           033,                           000,                           000,                           039,                           000,                           000,                           040,                           114,                           000,                           033,                           000,                           000,                           039,                           066,                           118,                           000,                           051,                           000,                           000
+:2:rotten                       ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 45how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%,                           ---,100% 33how 000m 000/000ex 045%,                           ---,                           ---
+:2:caminho                      ,                           ---,100% 65how 044m 011/006ex 100%,000% 00how 053m 048/024ex 000%,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,000% 00how 000m 000/000ex 000%,100% 54how 086m 026/013ex 096%,                           ---,100% 44how 050m 008/006ex 082%,                           ---,                           ---,100% 65how 010m 003/003ex 100%,                           ---,                           ---,                           ---,100% 45how 020m 019/009ex 082%,                           ---,                           ---,100% 55how 435m 146/072ex 096%,                           ---,                           ---,100% 65how 018m 003/003ex 100%,100% 54how 035m 009/008ex 096%,000% 00how 004m 007/003ex 000%,100% 24how 033m 007/005ex 082%,                           ---,000% 00how 093m 020/008ex 000%,100% 54how 014m 017/006ex 096%,                           ---,100% 54how 017m 008/007ex 096%,000% 00how 000m 002/001ex 000%,100% 34how 023m 011/008ex 082%,                           ---,                           ---
+:1:detonate                     ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 001m 000/000ex 082%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 54how 000m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 45how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---
*:1:escapeSpread                 ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,090% 44how 000m 000/000ex 070%,                           ---,                           ---,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,100% 44how 000m 000/000ex 082%,                           ---,                           ---,                           ---,                           ---,                           ---,100% 45how 000m 000/000ex 082%,100% 65how 000m 000/000ex 100%,                           ---,                           ---,                           ---,                           ---
=:1:backtracking=================,                           000,                           029,                           000,                           000,                           000,                           000,                           032,                           000,                           022,                           074,                           000,                           048,                           000,                           000,                           033,                           000,                           000,                           000,                           050,                           027,                           000,                           000,                           000,                           000,                           000,                           000,                           000,                           014,                           000,                           059,                           135,                           041,                           008,                           000,                           055,                           000,                           000
+:2:wordsearch                   ,                           ---,                           ---,000% 00how 001m 001/001ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,050% 54how 110m 009/008ex 025%,000% 00how 000m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,000% 00how 007m 004/002ex 000%,                           ---,                           ---,000% 00how 008m 001/001ex 000%,050% 65how 053m 013/005ex 050%,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 099m 043/039ex 000%,                           ---,                           ---,000% 00how 149m 022/018ex 000%,                           ---,                           ---,100% 34how 011m 006/004ex 082%,                           ---,050% 54how 018m 003/001ex 025%,                           ---,100% 34how 177m 027/022ex 082%,                           ---,                           ---
+:2:subset_sum                   ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 23how 001m 002/001ex 045%,100% 54how 010m 011/004ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
+:2:distancia                    ,                           ---,100% 44how 054m 038/019ex 082%,000% 00how 002m 000/000ex 000%,                           ---,                           ---,                           ---,100% 55how 021m 014/007ex 096%,                           ---,                           ---,100% 45how 006m 002/001ex 082%,000% 00how 000m 000/000ex 000%,100% 54how 052m 013/006ex 096%,                           ---,                           ---,100% 65how 079m 041/020ex 100%,                           ---,                           ---,                           ---,100% 65how 044m 025/011ex 100%,100% 44how 052m 012/006ex 082%,                           ---,000% 00how 015m 006/003ex 000%,                           ---,                           ---,                           ---,000% 00how 000m 002/001ex 000%,                           ---,000% 00how 000m 001/001ex 000%,                           ---,100% 23how 055m 011/005ex 045%,100% 54how 012m 012/006ex 096%,100% 35how 006m 006/003ex 082%,                           ---,                           ---,100% 34how 105m 043/040ex 082%,                           ---,000% 00how 187m 125/062ex 000%
*:1:permutacoes                  ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 34how 057m 004/004ex 082%,100% 65how 006m 001/001ex 100%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 24how 067m 019/010ex 082%,100% 54how 036m 016/005ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
*:1:sudoku                       ,                           ---,080% 22how 057m 054/027ex 006%,000% 00how 001m 000/000ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,000% 00how 000m 000/000ex 000%,100% 44how 004m 002/001ex 082%,000% 00how 000m 000/000ex 000%,100% 54how 078m 014/007ex 096%,                           ---,000% 00how 026m 040/020ex 000%,000% 00how 009m 000/000ex 000%,                           ---,                           ---,                           ---,000% 00how 001m 005/001ex 000%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 44how 093m 026/018ex 082%,                           ---,100% 22how 058m 026/012ex 012%,100% 44how 000m 004/002ex 082%,100% 35how 013m 006/003ex 082%,                           ---,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---
*:1:n_rainhas                    ,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 54how 006m 000/000ex 096%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---,100% 24how 075m 023/009ex 082%,100% 44how 021m 020/010ex 082%,                           ---,                           ---,                           ---,                           ---,                           ---,                           ---
=:1:vetor========================,                           087,                           100,                           096,                           083,                           060,                           070,                           021,                           051,                           075,                           084,                           025,                           097,                           025,                           066,                           100,                           042,                           022,                           063,                           090,                           039,                           000,                           091,                           000,                           072,                           098,                           056,                           014,                           073,                           050,                           069,                           049,                           085,                           088,                           097,                           038,                           021,                           092
+:3:vetbuild                     ,100% 55how 154m 052/026ex 096%,100% 65how 183m 054/027ex 100%,100% 54how 068m 057/028ex 096%,100% 45how 421m 097/048ex 082%,100% 53how 021m 013/006ex 075%,100% 55how 269m 068/034ex 096%,                           ---,100% 54how 325m 080/040ex 096%,100% 44how 175m 054/027ex 082%,100% 44how 079m 028/014ex 082%,100% 65how 181m 064/032ex 100%,100% 54how 249m 022/011ex 096%,100% 65how 280m 062/031ex 100%,100% 55how 139m 050/025ex 096%,100% 65how 011m 006/003ex 100%,100% 32how 328m 195/092ex 012%,100% 23how 023m 006/003ex 045%,090% 34how 231m 031/028ex 070%,100% 65how 351m 083/041ex 100%,100% 44how 211m 092/046ex 082%,                           ---,100% 55how 534m 355/173ex 096%,                           ---,100% 55how 187m 122/061ex 096%,100% 65how 012m 001/001ex 100%,090% 33how 074m 018/009ex 032%,070% 22how 067m 060/028ex 005%,100% 54how 763m 141/070ex 096%,100% 34how 062m 010/005ex 082%,100% 24how 121m 101/050ex 082%,100% 34how 102m 048/025ex 082%,100% 35how 094m 034/017ex 082%,100% 55how 289m 062/031ex 096%,100% 55how 354m 257/113ex 096%,100% 43how 550m 165/082ex 045%,100% 34how 122m 032/016ex 082%,100% 55how 143m 116/058ex 096%
+:3:setbuild                     ,100% 44how 060m 020/010ex 082%,100% 65how 330m 204/102ex 100%,100% 54how 246m 086/043ex 096%,100% 44how 278m 064/032ex 082%,100% 43how 062m 029/014ex 045%,100% 45how 236m 032/016ex 082%,100% 44how 048m 009/008ex 082%,100% 33how 237m 032/016ex 045%,100% 45how 232m 038/019ex 082%,100% 44how 021m 004/002ex 082%,000% 00how 013m 002/001ex 000%,100% 54how 033m 014/007ex 096%,000% 00how 000m 000/000ex 000%,000% 55how 260m 040/020ex 000%,100% 65how 052m 003/001ex 100%,100% 43how 137m 086/043ex 045%,100% 43how 033m 016/008ex 045%,100% 44how 177m 024/019ex 082%,100% 55how 115m 072/036ex 096%,100% 21how 228m 043/021ex 002%,                           ---,100% 45how 125m 101/050ex 082%,                           ---,100% 55how 146m 040/020ex 096%,100% 54how 007m 002/002ex 096%,100% 45how 013m 074/021ex 082%,100% 32how 002m 002/001ex 012%,100% 43how 053m 041/020ex 045%,100% 23how 003m 004/002ex 045%,100% 24how 082m 033/016ex 082%,000% 00how 065m 038/017ex 000%,100% 45how 066m 022/011ex 082%,100% 55how 240m 094/047ex 096%,100% 55how 161m 212/101ex 096%,100% 33how 242m 149/073ex 045%,000% 00how 111m 044/022ex 000%,100% 44how 265m 173/085ex 082%
+:1:bettersearch                 ,100% 65how 086m 008/004ex 100%,100% 65how 034m 004/002ex 100%,100% 55how 008m 004/002ex 096%,                           ---,100% 55how 009m 011/005ex 096%,000% 00how 000m 000/000ex 000%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,100% 55how 005m 002/001ex 096%,                           ---,100% 65how 006m 002/001ex 100%,                           ---,000% 00how 000m 002/001ex 000%,100% 65how 015m 004/002ex 100%,                           ---,                           ---,100% 43how 074m 006/004ex 045%,010% 00how 001m 014/006ex 000%,100% 44how 058m 004/002ex 082%,                           ---,100% 55how 100m 063/030ex 096%,                           ---,                           ---,100% 54how 007m 001/001ex 096%,100% 44how 010m 002/002ex 082%,                           ---,000% 00how 000m 000/000ex 000%,                           ---,                           ---,100% 44how 012m 005/002ex 082%,100% 55how 010m 004/002ex 096%,000% 00how 004m 002/001ex 000%,100% 65how 125m 066/033ex 100%,                           ---,                           ---,100% 44how 043m 090/041ex 082%
+:1:magicsearch                  ,100% 44how 015m 004/002ex 082%,100% 65how 065m 024/012ex 100%,100% 55how 024m 014/007ex 096%,100% 65how 059m 022/011ex 100%,100% 54how 015m 002/002ex 096%,100% 55how 014m 010/005ex 096%,                           ---,                           ---,100% 45how 072m 010/005ex 082%,100% 45how 006m 006/003ex 082%,000% 00how 000m 000/000ex 000%,100% 65how 006m 004/002ex 100%,000% 00how 000m 000/000ex 000%,100% 65how 091m 036/018ex 100%,100% 65how 034m 003/001ex 100%,100% 44how 043m 010/005ex 082%,                           ---,100% 44how 071m 005/004ex 082%,100% 55how 056m 055/027ex 096%,100% 34how 066m 020/010ex 082%,                           ---,100% 65how 065m 061/030ex 100%,                           ---,100% 55how 035m 010/005ex 096%,100% 54how 013m 001/001ex 096%,100% 44how 011m 004/003ex 082%,000% 00how 025m 014/007ex 000%,100% 54how 023m 016/008ex 096%,100% 23how 002m 006/003ex 045%,100% 24how 098m 019/009ex 082%,100% 54how 015m 005/002ex 096%,100% 55how 013m 004/002ex 096%,100% 55how 104m 026/013ex 096%,100% 55how 276m 171/083ex 096%,100% 42how 227m 091/045ex 012%,                           ---,100% 54how 069m 020/010ex 096%
